# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-2.050081807288020919e+00 8.724691174403932381e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.048081807344584782e+00 1.124469126353848658e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.046081807401148644e+00 1.772469149274162881e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.044081807457712507e+00 1.988469156914267622e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.042081807514276370e+00 2.168469163281021572e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.040081807570840233e+00 2.204469164554372362e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.038081807627404096e+00 2.348469169647775523e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.036081807683967959e+00 1.952469155640916831e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.034081807740531822e+00 1.592469142907408930e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.032081807797095685e+00 1.412469136540654979e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.030081807853659548e+00 1.160469127627199448e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.028081807910223411e+00 6.924691110736392874e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.026081807966787274e+00 6.204691085269377071e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.024081808023351137e+00 4.764691034335344910e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.022081808079915000e+00 6.924691110736392874e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.020081808136478863e+00 4.764691034335344910e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.018081808193042725e+00 8.364691161670424480e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.016081808249606588e+00 8.724691174403932381e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.014081808306170451e+00 1.052469123807147078e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.012081808362734314e+00 8.004691148936916578e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.010081808419298177e+00 8.004691148936916578e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.008081808475862040e+00 6.924691110736392874e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.006081808532425903e+00 6.924691110736392874e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.004081808588989766e+00 1.884690932467281699e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.002081808645553629e+00 -6.353091566672734725e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-2.000081808702117492e+00 -3.515309258535336823e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.998081808758681577e+00 -8.195309424070938986e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
